Indexed documents: 50242

Number of unique tokens: 
732159

Total size of index in KB:
index_195.pickle: 739.10 KB
index_196.pickle: 451.00 KB
index_197.pickle: 513.61 KB
index_198.pickle: 636.33 KB
index_199.pickle: 559.97 KB
index_200.pickle: 688.42 KB
index_201.pickle: 370.69 KB
index_202.pickle: 670.75 KB
index_203.pickle: 737.78 KB
index_204.pickle: 450.03 KB
index_205.pickle: 1032.51 KB
index_206.pickle: 412.47 KB
index_207.pickle: 459.70 KB
index_208.pickle: 375.81 KB
index_209.pickle: 545.16 KB
index_210.pickle: 454.28 KB
index_211.pickle: 335.41 KB
index_212.pickle: 555.42 KB
index_213.pickle: 909.58 KB
index_214.pickle: 589.99 KB
index_215.pickle: 617.49 KB
index_216.pickle: 450.93 KB
index_217.pickle: 465.97 KB
index_218.pickle: 516.91 KB
index_219.pickle: 471.27 KB
index_220.pickle: 687.14 KB
index_221.pickle: 502.39 KB
index_222.pickle: 552.07 KB
index_223.pickle: 546.55 KB
index_224.pickle: 474.44 KB
index_225.pickle: 650.20 KB
index_226.pickle: 414.12 KB
index_227.pickle: 432.84 KB
index_228.pickle: 470.88 KB
index_229.pickle: 377.24 KB
index_230.pickle: 432.09 KB
index_231.pickle: 491.90 KB
index_232.pickle: 13981.92 KB
index_233.pickle: 810.66 KB
index_234.pickle: 531.87 KB
index_235.pickle: 426.78 KB
index_236.pickle: 449.07 KB
index_237.pickle: 667.52 KB
index_238.pickle: 326.33 KB
index_239.pickle: 778.56 KB
index_240.pickle: 1238.71 KB
index_241.pickle: 1331.96 KB
index_242.pickle: 893.19 KB
index_243.pickle: 1534.68 KB
index_244.pickle: 737.63 KB
index_245.pickle: 1653.24 KB
index_246.pickle: 1463.36 KB
index_247.pickle: 2044.27 KB
index_248.pickle: 1604.22 KB
index_249.pickle: 1803.73 KB
index_250.pickle: 1078.75 KB
index_251.pickle: 1826.91 KB
index_252.pickle: 1059.01 KB
index_253.pickle: 1305.54 KB
index_254.pickle: 909.23 KB
index_255.pickle: 1484.25 KB
index_256.pickle: 796.20 KB
index_257.pickle: 761.72 KB
index_258.pickle: 741.07 KB
index_259.pickle: 670.50 KB
index_260.pickle: 742.68 KB
index_261.pickle: 708.57 KB
index_262.pickle: 694.31 KB
index_263.pickle: 712.12 KB
index_264.pickle: 711.92 KB
index_265.pickle: 668.29 KB
index_266.pickle: 625.11 KB
index_267.pickle: 625.67 KB
index_268.pickle: 575.30 KB
index_269.pickle: 521.01 KB
index_270.pickle: 340.64 KB
index_271.pickle: 317.20 KB
index_272.pickle: 238.47 KB
index_273.pickle: 504.47 KB
index_274.pickle: 656.85 KB
index_275.pickle: 841.58 KB
index_276.pickle: 1447.92 KB

 Master Index Total : 340441.86 KB
